der Abend | the evening
das Lebensmittel | the food
die Limonade (Limo) | the lemonade (soda)
der Liter | the litre
die Mandarine | the tangerine
die Mango | the mango
der Markt | the market
die Marmelade | the jam
das Mehl | the flour
die Mengenangabe | the quantity
die Melone | the melon
die Milch | milk
das Milchprodukt | milk product
die Möhre | the carrot
die Nudel | pasta
das Obst | fruit
der Obstsalat | fruit salad
das Olivenöl | olive oil
die Orange | the orange
die Packung | the packet
die Paprika | the pepper
der Partner | the partner
die Partnerin | the partner
das Pfund | the pound
der Pilz | the mushroom
der Preis | the price
der Pudding | the pudding
der Reis | the rice
das Rindfleisch | the beef
der Saft | the juice
die Sahne | the cream
der Salat | the salad
das Salz | the salt
die Schokolade | the chocolate
das Schweinefleisch | the pork
das Stück | the piece
die Tasse | the cup
der Tee | the tea
der Tipp | the tip
die Tomate | the tomato
die Traube | the grape
der Verkäufer | the seller
die Verkäuferin | the shop assistant
das Wasser | the water
der Wein | the wine
die Zitrone | the lemon
der Zucker | the sugar
die Zwiebel | the onion
der Alltag | everyday life
die Arbeit | work
das Bett | the bed
das Büro | the office
der Computer | the computer
das Computerspiel | the computer game
der Film | the film
die Freundin | the girlfriend
der Fußball | the football
der Hunger | the hunger
die Idee | the idea
das Interview | the interview
der Mittag | the lunch
die Mittagspause | the lunch break
der Morgen | the morning
die Musik | the music
der Nachmittag | the afternoon
der Notizzettel | the notepad
die Pizza | the pizza
der Schluss | the end
die Schule | the school
das Spiel | the game
der Sport | the sport
die Stunde | the lesson
der Stundenplan | the timetable
der Supermarkt | the supermarket
die Uhr | the clock
die Uhrzeit | the time
der Unterricht | the lesson
das Viertel | the neighbourhood
der Vormittag | the morning
die Wohnung | the flat
die Zeit | the time
der Altbau | the old building
die Angabe | the indication
die Anzeige | the display
das Arbeitszimmer | the study
das Bad | the bathroom
die Badewanne | the bathtub
das Badezimmer | the bathroom
der Balkon | the balcony
der Bauernhof | the farm
der Besichtigungstermin | the viewing appointment
die Diele | the hallway
die Dusche | the shower
das Einfamilienhaus | the detached house
das Elektrogerät | the electrical appliance
das Erdgeschoss | the ground floor
der Euro | the Euro
der Fernseher | the television
die Firma | the company
der Flur | the corridor
die Garage | the garage
der Garten | the garden
der Gast | the guest
das Geld | the money
das Gerät | the appliance
das Geschäft | the shop
das Gespräch | the conversation
die Größe | the size
die Hauptsache | the main thing
das Haus | the house
das Haustier | the pet
die Heizung | the heating
der Herd | the cooker
die Hilfe | the help
das Hochhaus | the tower block
die Immobilie | the property
der Juni | June
die Kaffeemaschine | the coffee machine
die Kaution | the deposit
der Keller | the cellar
das Kinderzimmer | the children's room
der Kleiderschrank | the wardrobe
die Küche | the kitchen
der Kühlschrank | the fridge
das Mehrfamilienhaus | the apartment block
die Miete | the rent
die Möbel (Pl.) | the furniture (pl.)
der Monat | the month
die Monatsmiete | the monthly rent
der Müll | the rubbish
die Nebenkosten | the service charges
das Obergeschoss | the upper floor
der Ort | the place
die Pflanze | the plant
der Plan | the plan
der Platz | the space
der Quadratmeter | the square metre
das Regal | the shelf
das Reihenhaus | the terraced house
das Schlafzimmer | the bedroom
der Schrank | the wardrobe
der Sessel | the armchair
das Sofa | the sofa
das Sonderangebot | the special offer
die Sonne | the sun
die Sprachschule | the language school
die Spülmaschine | the dishwasher
die Stadt | the city
der Teppich | the carpet
die Terrasse | the terrace
die Toilette | the toilet
die Traumwohnung | the dream flat
die Waschmaschine | the washing machine
das WC | the WC
die Wohnungsanzeige | the flat advert
die Wohnungssuche | the flat search
das Wohnzimmer | the living room
die Zeitung | the newspaper
das Zentrum | the centre
das Zimmer | the room
